"eventID","occurrenceID","organismQuantity","organismQuantityType","occurrenceStatus","basisOfRecord","scientificName","kingdom","phylum","class","order","family","genus","genericName","specificEpithet","taxonRank","vernacularName","taxonomicStatus"
"BUU-2008-FICHYP","BUU-2008-FICHYP_1",31,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-2008-PARMAJ","BUU-2008-PARMAJ_1",113,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-2008-PERATE","BUU-2008-PERATE_1",7,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-2008-SITEUR","BUU-2008-SITEUR_1",8,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"BUU-2009-CYACAE","BUU-2009-CYACAE_1",13,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
"BUU-2009-FICHYP","BUU-2009-FICHYP_1",36,"breeding pairs","present","HumanObservation","Ficedula hypoleuca (Pallas, 1764)","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula","hypoleuca","species","Pied flycatcher","accepted"
"BUU-2009-PARMAJ","BUU-2009-PARMAJ_1",84,"breeding pairs","present","HumanObservation","Parus major Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus","major","species","Great tit","accepted"
"BUU-2009-PERATE","BUU-2009-PERATE_1",2,"breeding pairs","present","HumanObservation","Periparus ater (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus","ater","species","Coal tit","accepted"
"BUU-2009-SITEUR","BUU-2009-SITEUR_1",4,"breeding pairs","present","HumanObservation","Sitta europaea Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta","europaea","species","Eurasian nuthatch","accepted"
"BUU-2010-CYACAE","BUU-2010-CYACAE_1",34,"breeding pairs","present","HumanObservation","Cyanistes caeruleus (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes","caeruleus","species","Blue tit","accepted"
